,model_id,model,d_model,e_layers,seq_len,pred_len,c_out,batch_size,buffer_size,lr,sample_type,eq,edq,ep
958,itf_dm48_el1_sl40_pl1_co4_bs128_bfs4000_lr0.001_stlog,itf,48,1,40,1,4,128,4000,0.001,log,1.396103670496941e-05,-1.986992424002354e-05,0.0004289244712299777
502,itf_dm48_el1_sl10_pl8_co4_bs32_bfs200_lr0.001_stlog,itf,48,1,10,8,4,32,200,0.001,log,1.306719738376034e-05,-2.391240087867494e-05,0.00042906529086511017
204,itf_dm48_el1_sl5_pl8_co4_bs128_bfs128_lr0.05_stlog,itf,48,1,5,8,4,128,128,0.05,log,1.2426227170662767e-05,-1.7533643904522715e-05,0.000429088743872235
1066,itf_dm48_el1_sl40_pl8_co4_bs64_bfs128_lr0.001_stlog,itf,48,1,40,8,4,64,128,0.001,log,1.3467007482446491e-05,-2.5244007405371242e-05,0.00043022400165451126
931,itf_dm48_el1_sl40_pl1_co4_bs16_bfs2000_lr0.0001_stlog,itf,48,1,40,1,4,16,2000,0.0001,log,1.3164094676832805e-05,-2.4123556484706432e-05,0.00043047713830408245
494,itf_dm48_el1_sl10_pl8_co4_bs128_bfs128_lr0.001_stlog,itf,48,1,10,8,4,128,128,0.001,log,1.3390190985340233e-05,-2.1487629500150512e-05,0.00043106897477177404
674,itf_dm48_el1_sl20_pl3_co4_bs16_bfs128_lr0.001_stlog,itf,48,1,20,3,4,16,128,0.001,log,1.3353776812072694e-05,-2.4623456553226307e-05,0.00043158913165788237
1090,itf_dm48_el1_sl40_pl8_co4_bs16_bfs500_lr0.001_stlog,itf,48,1,40,8,4,16,500,0.001,log,1.36847450035689e-05,-2.3607443202932395e-05,0.0004322509579604248
232,itf_dm48_el1_sl5_pl8_co4_bs64_bfs500_lr0.05_stlog,itf,48,1,5,8,4,64,500,0.05,log,1.1376876310594572e-05,-2.466033745761407e-05,0.00043241450389504206
926,itf_dm48_el1_sl40_pl1_co4_bs128_bfs1000_lr0.001_stlog,itf,48,1,40,1,4,128,1000,0.001,log,1.321727484045155e-05,-2.5184990691921438e-05,0.000436382392728721
306,itf_dm48_el1_sl10_pl1_co4_bs16_bfs200_lr0.001_stlog,itf,48,1,10,1,4,16,200,0.001,log,1.3014911527060098e-05,-2.7430789644375658e-05,0.00043688115231427005
509,itf_dm48_el1_sl10_pl8_co4_bs128_bfs200_lr0.01_stlog,itf,48,1,10,8,4,128,200,0.01,log,1.3396709894374992e-05,-2.3637015470199738e-05,0.00043712795079259965
586,itf_dm48_el1_sl20_pl1_co4_bs64_bfs128_lr0.001_stlog,itf,48,1,20,1,4,64,128,0.001,log,1.3270681685072499e-05,-2.8093675359565883e-05,0.00043731243252744927
1150,itf_dm48_el1_sl40_pl8_co4_bs128_bfs4000_lr0.001_stlog,itf,48,1,40,8,4,128,4000,0.001,log,1.403074438359735e-05,-2.435056064199184e-05,0.00043846532462182077
220,itf_dm48_el1_sl5_pl8_co4_bs128_bfs200_lr0.05_stlog,itf,48,1,5,8,4,128,200,0.05,log,1.2408768961558918e-05,-2.1937757545121336e-05,0.00043902089172165407
226,itf_dm48_el1_sl5_pl8_co4_bs16_bfs500_lr0.001_stlog,itf,48,1,5,8,4,16,500,0.001,log,1.3126656607917962e-05,-2.867633644857261e-05,0.000441059412043373
558,itf_dm48_el1_sl10_pl8_co4_bs128_bfs2000_lr0.001_stlog,itf,48,1,10,8,4,128,2000,0.001,log,1.4232655104165883e-05,-2.6340023301183596e-05,0.0004415532023267275
594,itf_dm48_el1_sl20_pl1_co4_bs16_bfs200_lr0.001_stlog,itf,48,1,20,1,4,16,200,0.001,log,1.3181434211507646e-05,-2.843175978871782e-05,0.00044241930235161813
322,itf_dm48_el1_sl10_pl1_co4_bs16_bfs500_lr0.001_stlog,itf,48,1,10,1,4,16,500,0.001,log,1.3395500580720568e-05,-2.808516386692975e-05,0.0004439750380667864
412,itf_dm48_el1_sl10_pl3_co4_bs128_bfs200_lr0.05_stlog,itf,48,1,10,3,4,128,200,0.05,log,1.2560771846705909e-05,-2.4226912759908476e-05,0.0004449264669464713
74,itf_dm48_el1_sl5_pl1_co4_bs64_bfs2000_lr0.001_stlog,itf,48,1,5,1,4,64,2000,0.001,log,1.3480102413240499e-05,-2.9412909408515868e-05,0.0004450118028813741
124,itf_dm48_el1_sl5_pl3_co4_bs128_bfs200_lr0.05_stlog,itf,48,1,5,3,4,128,200,0.05,log,1.112221178038768e-05,-2.5847078033095893e-05,0.0004456699053696679
138,itf_dm48_el1_sl5_pl3_co4_bs64_bfs500_lr0.001_stlog,itf,48,1,5,3,4,64,500,0.001,log,1.3238020195384642e-05,-3.099489617057211e-05,0.0004458105500472583
149,itf_dm48_el1_sl5_pl3_co4_bs32_bfs1000_lr0.01_stlog,itf,48,1,5,3,4,32,1000,0.01,log,1.2396011643673135e-05,-2.8634360291277753e-05,0.000446503579388712
524,itf_dm48_el1_sl10_pl8_co4_bs128_bfs500_lr0.05_stlog,itf,48,1,10,8,4,128,500,0.05,log,1.320555151022065e-05,-2.5736815631120097e-05,0.00044704170009254255
141,itf_dm48_el1_sl5_pl3_co4_bs128_bfs500_lr0.01_stlog,itf,48,1,5,3,4,128,500,0.01,log,1.3149755041862805e-05,-3.0862474800497086e-05,0.0004480818701437429
582,itf_dm48_el1_sl20_pl1_co4_bs32_bfs128_lr0.001_stlog,itf,48,1,20,1,4,32,128,0.001,log,1.3169335419620297e-05,-3.1754549205806424e-05,0.0004482846489686442
593,itf_dm48_el1_sl20_pl1_co4_bs16_bfs200_lr0.01_stlog,itf,48,1,20,1,4,16,200,0.01,log,1.2672539600652006e-05,-3.066190504624712e-05,0.00044912354395377753
253,itf_dm48_el1_sl5_pl8_co4_bs128_bfs1000_lr0.01_stlog,itf,48,1,5,8,4,128,1000,0.01,log,1.2970932963413237e-05,-3.0305844943498417e-05,0.0004491377095512222
202,itf_dm48_el1_sl5_pl8_co4_bs64_bfs128_lr0.001_stlog,itf,48,1,5,8,4,64,128,0.001,log,1.3277534748844504e-05,-3.017054098926981e-05,0.00044961661214076507
114,itf_dm48_el1_sl5_pl3_co4_bs16_bfs200_lr0.001_stlog,itf,48,1,5,3,4,16,200,0.001,log,1.2846845043507668e-05,-3.0458837855342098e-05,0.0004533665572588014
876,itf_dm48_el1_sl40_pl1_co4_bs128_bfs128_lr0.05_stlog,itf,48,1,40,1,4,128,128,0.05,log,1.2531056559621711e-05,-2.9931248079224232e-05,0.00045452057901550403
300,itf_dm48_el1_sl10_pl1_co4_bs128_bfs128_lr0.05_stlog,itf,48,1,10,1,4,128,128,0.05,log,1.2554927911375574e-05,-3.0118439463859385e-05,0.0004551513010715723
490,itf_dm48_el1_sl10_pl8_co4_bs64_bfs128_lr0.001_stlog,itf,48,1,10,8,4,64,128,0.001,log,1.3602844415576886e-05,-2.981820915357817e-05,0.00045526319498544133
1098,itf_dm48_el1_sl40_pl8_co4_bs64_bfs500_lr0.001_stlog,itf,48,1,40,8,4,64,500,0.001,log,1.3847756367452277e-05,-3.142093863678407e-05,0.00045546756637645196
28,itf_dm48_el1_sl5_pl1_co4_bs128_bfs200_lr0.05_stlog,itf,48,1,5,1,4,128,200,0.05,log,1.2223610282722694e-05,-2.9744071333214026e-05,0.0004555094559404229
